,ID карточки,ID товара:,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена,Обложка
242,1051385,2652506,9785001113584,Хантер Э.,6+,2018,2,Абрис,320,Сны и видения Бабочки. Беглянка,Максимова Вероника,,5,Коты-воители,Твердая бумажная,7000,20.7 x 13.1 x 1.7,,304,https://img-gorod.ru/upload/iblock/01a/01a80dac86335ea82348d008d238a57d.jpg
243,1051386,2652507,9785001112976,Хантер Э.,6+,2018,0,Абрис,448,Пророчество Синей Звезды,Максимова В.А.,,0,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.7 x 17.1 x 2.3,Насыров Л.Х.,565,https://img-gorod.ru/upload/iblock/57c/57c44e2a812c8c49b3f35f8fd44e5a45.jpg
244,1056132,2656647,9785001113515,Хантер Э.,6+,2018,4,Абрис,464,Рассвет. Звездный свет,Максимова В.А.,,4,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.6 x 17.1 x 2.5,"Савельева Е.А., Насырова Л.Х.",609,https://img-gorod.ru/upload/iblock/9bf/9bf36a8185d5b77570bd78dc35217255.jpg
245,1059067,2659373,9785001113454,Хантер Э.,,2018,1,Абрис,318,Долгая ночь,Павлова И.,,5,Хроники Стаи,Твердая бумажная,5000,20.5 x 13.2 x 1.7,Егоров С.,304,https://img-gorod.ru/upload/iblock/5a0/5a06f91f07d233ceec9356075998cff0.jpg
246,1066041,2665312,9785001113539,Хантер Э.,6+,2018,3,Абрис,320,Сны и видения Бабочки. Целительница,Максимова Вероника,,5,Коты-воители,Твердая бумажная,7000,20.7 x 13 x 1.8,Насыров Леонид,304,https://img-gorod.ru/upload/iblock/b69/b6979c795d2b8cfbb47f209285842439.jpg
247,1077461,2677963,9785001115052,Хантер Э.,6+,2018,3,Абрис Олма,382,Нерассказанные истории. Месть Кленовницы,Максимова В.,,5,Коты-воители,Твердая бумажная,7000,20.6 x 13 x 2,Насыров Л.,304,https://img-gorod.ru/upload/iblock/1af/1afe28cf1039c851e05d82a7a0511a32.jpg
248,1077741,2679748,9785001114178,Хантер Э.,6+,2018,1,Абрис Олма,447,Сумерки. Закат,Максимова В.А.,,5,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.6 x 17.1 x 2.6,"Савельева Е.А., Насырова Л.Х.",585,https://img-gorod.ru/upload/iblock/d41/d412f4eadd80c5b5f674270af26174bc.jpg
249,1086610,2688299,9785001115090,Хантер Э.,6+,2019,0,Абрис,447,Тайна Щербатой,Максимова В.А.,,0,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.5 x 17 x 2.4,Насыров Л.Х.,609,https://img-gorod.ru/upload/iblock/0f5/0f5e48fe6bf5dbfa521a7e4c36c1ad0b.jpg
250,246061,1668112,9785699110018,Емец Д.,,2003,0,Эксмо-Пресс,384,Таня Гроттер и Золотая Пиявка,,,0,Таня Гроттер,Твердая бумажная,,20.6 x 13.5 x 2.3,,Не указана,https://img-gorod.ru/upload/iblock/236/236a031d1f5f75a620cdd332e13cb086.jpg
251,248191,1881356,9785699102396,Емец Д.,,2003,0,Эксмо-Пресс,432,Таня Гроттер и молот Перуна,,,0,Таня Гроттер,Твердая бумажная,,20.7 x 13.3 x 2.2,,Не указана,https://img-gorod.ru/upload/iblock/84e/84ef375c26c9ab980da5c14c6480681a.jpg
252,248397,1884701,5699038590,Емец Д.,,2003,0,Эксмо-Пресс,320,Пират против всей галактики,,,0,От создателя Тани Гроттер,Твердая глянцевая,,,,Не указана,https://img-gorod.ru/upload/iblock/44d/44d96fcd20807e94fbc7518c4acf006f.jpg
253,249381,1895169,9785699104062,Емец Д.,,2003,0,Эксмо-Пресс,416,Таня Гроттер и пенсне Ноя,,,0,Таня Гроттер,Твердая бумажная,,20.7 x 13.5 x 2.5,,Не указана,https://img-gorod.ru/upload/iblock/027/027c31ff5aceeca9ffc64f8ea4c4d897.jpg
254,253163,2288153,9785699510672,Емец Д.,,2011,0,Эксмо,144,Дракончик Пыхалка Приключения начинаются,,Кузнецова Т.,0,,Твердая бумажная,,25 x 23 x 1,Тимофеева Виктория,Не указана,https://img-gorod.ru/upload/iblock/e8e/e8e159e2d9f0cbd6634813208a244743.jpg
255,257088,2295393,9785699524914,Емец Д.,,2011,0,Эксмо,352,Мутантики,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,,20.5 x 13 x 2.5,,Не указана,https://img-gorod.ru/upload/iblock/c5c/c5c0fee1e26d2610d2340202cbce0c64.jpg
256,257819,2296353,9785699534562,Емец Д.,,2011,1,Эксмо,416,Мефодий Буслаев Огненные врата,,Суворова Т.,5,Мефодий Буслаев,Твердая глянцевая,,20.5 x 13 x 3,,303,https://img-gorod.ru/upload/iblock/ee6/ee6646d1507851f97ce09dee784d17ba.jpg
257,259044,2297895,9785699462452,Емец Д.,,2011,0,Эксмо,224,Дракончик Пыхалка и Великий Мымрик,,Суворова Т.,0,,Твердая бумажная,,26 x 20.5 x 1.5,Тимофеева В.,Не указана,https://img-gorod.ru/upload/iblock/d39/d3967f72caf6b6268f961679802e638c.jpg
258,259639,2298695,9785699529049,Емец Д.,,2011,0,Эксмо,352,Королева мутантиков,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,,21.7 x 15 x 4.3,,175,https://img-gorod.ru/upload/iblock/37a/37a446fdc714977b62c889674c35c666.jpg
259,261761,2302338,9785699542413,Емец Д.,,2012,0,Эксмо,320,Тайна Звездного странника,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,,20.5 x 12.8 x 1.9,,Не указана,https://img-gorod.ru/upload/iblock/cd3/cd327e85568964d22086afedf59d8e44.jpg
260,263775,2305356,9785699551002,Емец Д.,,2012,0,Эксмо,320,Сердце пирата,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,,20.5 x 13.2 x 2.1,,Не указана,https://img-gorod.ru/upload/iblock/075/075ab066d9e01f5b59d2834f2f0fa5f0.jpg
261,264885,2306932,9785699548484,Емец Д.,,2012,0,Эксмо,280,Дракончик Пыхалка,,Суворова Т.,0,,Твердая бумажная,,26 x 20.5 x 1.8,Тимофеева Виктория,Не указана,https://img-gorod.ru/upload/iblock/f85/f85dae4dae0c77e3d616fb7cdb10675a.jpg
262,265967,2308403,9785699556502,Емец Д.,,2012,0,Эксмо,352,Гладиатор забытых созвездий,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,,20.5 x 13 x 1.8,,Не указана,https://img-gorod.ru/upload/iblock/dde/ddee120d131a0612fc91e7a1fd7ab1e8.jpg
263,267161,2310019,9785699551330,Емец Д.,,2012,2,Эксмо,384,Таня Гроттер и птица титанов ,,Суворова Т.,5,Таня Гроттер,Твердая бумажная,30100,20.5 x 13 x 2.5,,Не указана,https://img-gorod.ru/upload/iblock/608/6085b134c16144b10297765896cb88ae.jpg
264,267275,2310169,9785699553211,Емец Д.,,2012,0,Эксмо,192,Дракончик Пыхалка. Приключения в Сказочной стране,,Суворова Т.,0,,Твердая бумажная,6000,24.5 x 22.5 x 1.4,Тимофеева Виктория,Не указана,https://img-gorod.ru/upload/iblock/353/353286303bc3ef1eaf55d630c855b93e.jpg
265,268288,2312033,9785699559336,Емец Д.,,2012,0,Эксмо,320,Пират против всей галактики,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,3000,20.6 x 13.4 x 2,,Не указана,https://img-gorod.ru/upload/iblock/a83/a830700c37db19b40c819e0a20a70ea6.jpg
266,268487,2312310,9785699551309,Емец Д.,,2012,0,Эксмо,280,Приключения домовят ,,Суворова Т.,0,,Твердая бумажная,4000,26.5 x 20.5 x 2.5,Тимофеева В.,Не указана,https://img-gorod.ru/upload/iblock/d4e/d4e10d24e10989adf0ba25bd4440115b.jpg
267,268960,2312946,9785699551286,Емец Д.,,2012,0,Эксмо,432,Таня Гроттер и молот Перуна,,Суворова Т.,0,Таня Гроттер,Твердая бумажная,3100,20.7 x 13 x 3,,Не указана,https://img-gorod.ru/upload/iblock/e6f/e6fa50fa2a208f2867ade351413a87ea.jpg
268,268961,2312947,9785699551255,Емец Д.,,2012,0,Эксмо,416,Таня Гроттер и посох волхвов,,Суворова Т.,0,Таня Гроттер,Твердая бумажная,3100,20.7 x 13 x 3,,Не указана,https://img-gorod.ru/upload/iblock/25d/25d438016dbc6449186797eafab8fb98.jpg
269,270846,2024870,9785699082346,Емец Д.,,2004,2,Эксмо,416,Мефодий Буслаев Маг полуночи,,,5,Мефодий Буслаев,Твердая глянцевая,,20.5 x 13.2 x 3.2,,Не указана,https://img-gorod.ru/upload/iblock/e8b/e8beb4648bf6bed2e97891e0bc9870d6.jpg
270,271127,2026387,5699069623,Емец Д.,,2004,0,Эксмо,352,Мутантики,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,Не указана,https://img-gorod.ru/upload/iblock/a44/a443cd3779a06db7e876b66a83433077.jpg
271,271602,2029407,569907581x,Емец Д.,,2004,0,Эксмо,352,Королева мутантиков,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,Не указана,https://img-gorod.ru/upload/iblock/c34/c34eaff88ca8bc2ca0acf13ee9fa9631.jpg
272,272217,2033116,5699076603,Емец Д.,,2004,0,Эксмо,384,Заступники земли Русской,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,Не указана,https://img-gorod.ru/upload/iblock/1ea/1ead833150db4aacf7c306a12dadee7f.jpg
273,274059,2041889,9785699101986,Емец Д.,12+,2005,0,Эксмо,416,Мефодий Буслаев Свиток желаний,,,0,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.2 x 2.5,,Не указана,https://img-gorod.ru/upload/iblock/7bb/7bbf983ede99d0edf88450305d82797a.jpg
